adsh,cik,name,sic,countryba,stprba,cityba,zipba,bas1,bas2,baph,countryma,stprma,cityma,zipma,mas1,mas2,countryinc,stprinc,ein,former,changed,afs,wksi,fye,form,period,fy,fp,filed,accepted,prevrpt,detail,instance,nciks,aciks
0001505155-24-000069,1505155,"UPLAND SOFTWARE, INC.",7372,US,TX,AUSTIN,78701,401 CONGRESS AVE.,SUITE 1850,512-960-1010,US,TX,AUSTIN,78701,401 CONGRESS AVE.,SUITE 1850,US,TX,272992077,SILVERBACK ACQUISITION CORP,20101105,2-ACC,0,1231,10-Q,20240630,2024,Q2,20240801,2024-08-01 16:08:00,0,1,upld-20240630_htm.xml,1,
0001680367-24-000038,1680367,"SHATTUCK LABS, INC.",2834,US,TX,AUSTIN,78701,500 W. 5TH STREET,,512-900-4690,US,TX,AUSTIN,78701,500 W. 5TH STREET,,US,DE,812575858,,,4-NON,0,1231,8-K,20240731,,,20240801,2024-08-01 16:15:00,0,0,sttk-20240801_htm.xml,1,
0001680367-24-000040,1680367,"SHATTUCK LABS, INC.",2834,US,TX,AUSTIN,78701,500 W. 5TH STREET,,512-900-4690,US,TX,AUSTIN,78701,500 W. 5TH STREET,,US,DE,812575858,,,4-NON,0,1231,10-Q,20240630,2024,Q2,20240801,2024-08-01 16:19:00,0,1,sttk-20240630_htm.xml,1,
0001739942-24-000092,1739942,SOLARWINDS CORP,7372,US,TX,AUSTIN,78735,"7171 SOUTHWEST PKWY., BLDG. 400",,5126829300,US,TX,AUSTIN,78735,"7171 SOUTHWEST PKWY., BLDG. 400",,US,DE,810753267,"SOLARWINDS PARENT, INC.",20180508,2-ACC,0,1231,8-K,20240731,,,20240801,2024-08-01 8:02:00,0,0,swi-20240801_htm.xml,1,
0000950170-24-089963,1830043,BUMBLE INC.,7370,US,TX,AUSTIN,78756,1105 WEST 41ST STREET,,512-696-1409,US,TX,AUSTIN,78756,1105 WEST 41ST STREET,,,,853604367,,,1-LAF,0,1231,8-K,20240731,,,20240802,2024-08-02 16:11:00,0,0,bmbl-20240730_htm.xml,1,
0000950170-24-090145,926617,ASPIRA WOMEN'S HEALTH INC.,2835,US,TX,AUSTIN,78738,12117 BEE CAVES ROAD BUILDING THREE,SUITE 100,512-519-0400,US,TX,AUSTIN,78738,12117 BEE CAVES ROAD BUILDING THREE,SUITE 100,US,DE,330595156,"VERMILLION, INC.",20070824,4-NON,0,1231,8-K,20240731,,,20240802,2024-08-02 17:27:00,0,0,awh-20240802_htm.xml,1,
0001126234-24-000088,1126234,"LUMOS PHARMA, INC.",2834,US,TX,AUSTIN,78756,4200 MARATHON BLVD.,SUITE 200,512-215-2630,US,TX,AUSTIN,78756,4200 MARATHON BLVD.,SUITE 200,US,DE,421491350,NEWLINK GENETICS CORP,20001012,4-NON,0,1231,10-Q,20240630,2024,Q2,20240802,2024-08-02 8:18:00,0,1,nlnk-20240630_htm.xml,1,
0001558370-24-010734,1297996,"DIGITAL REALTY TRUST, INC.",6798,US,TX,AUSTIN,78735,"5707 SOUTHWEST PARKWAY, BUILDING 1",SUITE 275,(737) 281-0101,US,TX,AUSTIN,78735,"5707 SOUTHWEST PARKWAY, BUILDING 1",SUITE 275,US,MD,260081711,"DIGITAL REALTY TRUST, INC.",20040722,1-LAF,0,1231,10-Q,20240630,2024,Q2,20240802,2024-08-02 17:17:00,0,1,dlr-20240630x10q_htm.xml,2,1494877
0001625641-24-000113,1625641,"CS DISCO, INC.",7372,US,TX,AUSTIN,78701,111 CONGRESS AVE,SUITE 900,713-231-9100,US,TX,AUSTIN,78701,111 CONGRESS AVE,SUITE 900,US,DE,464254444,,,2-ACC,0,1231,8-K,20240731,,,20240802,2024-08-02 17:18:00,0,0,law-20240729_htm.xml,1,
0001739942-24-000096,1739942,SOLARWINDS CORP,7372,US,TX,AUSTIN,78735,"7171 SOUTHWEST PKWY., BLDG. 400",,5126829300,US,TX,AUSTIN,78735,"7171 SOUTHWEST PKWY., BLDG. 400",,US,DE,810753267,"SOLARWINDS PARENT, INC.",20180508,2-ACC,0,1231,10-Q,20240630,2024,Q2,20240802,2024-08-02 16:07:00,0,1,swi-20240630_htm.xml,1,
0000950170-24-090850,1984060,ATLAS ENERGY SOLUTIONS INC.,1311,US,TX,AUSTIN,78730,5918 WEST COURTYARD DRIVE,SUITE 500,5122201200,US,TX,AUSTIN,78730,5918 WEST COURTYARD DRIVE,SUITE 500,US,DE,932154509,NEW ATLAS HOLDCO INC.,20230703,4-NON,0,1231,8-K,20240731,,,20240805,2024-08-05 16:36:00,0,0,aesi-20240805_htm.xml,1,
0000950170-24-090702,1785056,"INTERACTIVE STRENGTH, INC.",3600,US,TX,AUSTIN,78701,1005 CONGRESS AVENUE,SUITE 925,3106978655,US,TX,AUSTIN,78701,1005 CONGRESS AVENUE,SUITE 925,US,DE,821432916,,,4-NON,0,1231,DEF 14A,20240831,,,20240805,2024-08-05 16:22:00,0,0,trnr-20240805_htm.xml,1,
0001489096-24-000145,1489096,"THERMON GROUP HOLDINGS, INC.",3620,US,TX,AUSTIN,78735,7171 SOUTHWEST PARKWAY,"BUILDING 300, SUITE 200",5126900600,US,TX,AUSTIN,78735,7171 SOUTHWEST PARKWAY,"BUILDING 300, SUITE 200",US,DE,272228185,,,1-LAF,0,331,8-K,20240731,,,20240805,2024-08-05 17:06:00,0,0,thr-20240731_htm.xml,1,
0001628280-24-034718,1839341,"CORE SCIENTIFIC, INC./TX",6199,US,TX,AUSTIN,78701,"106 EAST 6TH STREET, SUITE 900-145",,(425) 998-5300,US,TX,AUSTIN,78701,"106 EAST 6TH STREET, SUITE 900-145",,US,DE,0,POWER & DIGITAL INFRASTRUCTURE ACQUISITION CORP.,20210106,2-ACC,0,1231,8-K,20240731,,,20240805,2024-08-05 16:04:00,0,0,core-20240805_htm.xml,1,
0000024090-24-000141,24090,"CITIZENS, INC.",6311,US,TX,AUSTIN,78758,11815 ALTERRA PKWY,SUITE 1500,5128377100,US,TX,AUSTIN,78714,P O BOX 149151,,US,CO,840755371,CITIZENS INC,19920703,2-ACC,0,1231,10-Q,20240630,2024,Q2,20240806,2024-08-06 16:14:00,0,1,cia-20240630_htm.xml,1,
0000024090-24-000142,24090,"CITIZENS, INC.",6311,US,TX,AUSTIN,78758,11815 ALTERRA PKWY,SUITE 1500,5128377100,US,TX,AUSTIN,78714,P O BOX 149151,,US,CO,840755371,CITIZENS INC,19920703,2-ACC,0,1231,8-K,20240731,,,20240806,2024-08-06 16:14:00,0,0,cia-20240806_htm.xml,1,
0000772406-24-000056,772406,"CIRRUS LOGIC, INC.",3674,US,TX,AUSTIN,78701,800 WEST 6TH STREET,,512-851-4000,US,TX,AUSTIN,78701,800 WEST 6TH STREET,,US,DE,770024818,CIRRUS LOGIC INC,19920703,1-LAF,0,331,8-K,20240731,,,20240806,2024-08-06 16:00:00,0,0,crus-20240806_htm.xml,1,
0000772406-24-000057,772406,"CIRRUS LOGIC, INC.",3674,US,TX,AUSTIN,78701,800 WEST 6TH STREET,,512-851-4000,US,TX,AUSTIN,78701,800 WEST 6TH STREET,,US,DE,770024818,CIRRUS LOGIC INC,19920703,1-LAF,0,331,10-Q,20240630,2025,Q1,20240806,2024-08-06 16:04:00,0,1,crus-20240629_htm.xml,1,
0000950170-24-091106,1984060,ATLAS ENERGY SOLUTIONS INC.,1311,US,TX,AUSTIN,78730,5918 WEST COURTYARD DRIVE,SUITE 500,5122201200,US,TX,AUSTIN,78730,5918 WEST COURTYARD DRIVE,SUITE 500,US,DE,932154509,NEW ATLAS HOLDCO INC.,20230703,4-NON,0,1231,8-K,20240731,,,20240806,2024-08-05 20:35:00,0,0,aesi-20240805_htm.xml,1,
0000950170-24-091945,1984060,ATLAS ENERGY SOLUTIONS INC.,1311,US,TX,AUSTIN,78730,5918 WEST COURTYARD DRIVE,SUITE 500,5122201200,US,TX,AUSTIN,78730,5918 WEST COURTYARD DRIVE,SUITE 500,US,DE,932154509,NEW ATLAS HOLDCO INC.,20230703,4-NON,0,1231,10-Q,20240630,2024,Q2,20240806,2024-08-06 16:50:00,0,1,aesi-20240630_htm.xml,1,
0001213900-24-065375,1733413,"TFF PHARMACEUTICALS, INC.",2834,US,TX,AUSTIN,78746,"2600 VIA FORTUNA, SUITE 360",,737-802-1973,US,TX,AUSTIN,78746,"2600 VIA FORTUNA, SUITE 360",,US,DE,824344737,,,4-NON,0,1231,8-K,20240731,,,20240806,2024-08-06 8:00:00,0,0,ea0210679-8k_tffpharma_htm.xml,1,
0001522727-24-000030,1522727,"USA COMPRESSION PARTNERS, LP",4922,US,TX,AUSTIN,78701,111 CONGRESS AVENUE,SUITE 2400,512-473-2662,US,TX,AUSTIN,78701,111 CONGRESS AVENUE,SUITE 2400,,,752771546,,,1-LAF,0,1231,8-K,20240731,,,20240806,2024-08-06 6:57:00,0,0,usac-20240806_htm.xml,1,
0001522727-24-000032,1522727,"USA COMPRESSION PARTNERS, LP",4922,US,TX,AUSTIN,78701,111 CONGRESS AVENUE,SUITE 2400,512-473-2662,US,TX,AUSTIN,78701,111 CONGRESS AVENUE,SUITE 2400,,,752771546,,,1-LAF,0,1231,10-Q,20240630,2024,Q2,20240806,2024-08-06 16:32:00,0,1,usac-20240630_htm.xml,1,
0001628280-24-034989,1839341,"CORE SCIENTIFIC, INC./TX",6199,US,TX,AUSTIN,78701,"106 EAST 6TH STREET, SUITE 900-145",,(425) 998-5300,US,TX,AUSTIN,78701,"106 EAST 6TH STREET, SUITE 900-145",,US,DE,0,POWER & DIGITAL INFRASTRUCTURE ACQUISITION CORP.,20210106,2-ACC,0,1231,8-K,20240731,,,20240806,2024-08-06 9:21:00,0,0,core-20240806_htm.xml,1,
0001628280-24-035171,1831097,"AGILON HEALTH, INC.",8090,US,TX,AUSTIN,78723,6210 E HWY 290,SUITE 450,562-256-3800,US,TX,AUSTIN,78723,6210 E HWY 290,SUITE 450,US,DE,371915147,"AGILON HEALTH TOPCO, INC.",20201103,1-LAF,0,1231,8-K,20240731,,,20240806,2024-08-06 16:04:00,0,0,agl-20240806_htm.xml,1,
0001628280-24-035179,1831097,"AGILON HEALTH, INC.",8090,US,TX,AUSTIN,78723,6210 E HWY 290,SUITE 450,562-256-3800,US,TX,AUSTIN,78723,6210 E HWY 290,SUITE 450,US,DE,371915147,"AGILON HEALTH TOPCO, INC.",20201103,1-LAF,0,1231,10-Q,20240630,2024,Q2,20240806,2024-08-06 16:09:00,0,1,agl-20240630_htm.xml,1,
0000950170-24-092742,1830043,BUMBLE INC.,7370,US,TX,AUSTIN,78756,1105 WEST 41ST STREET,,512-696-1409,US,TX,AUSTIN,78756,1105 WEST 41ST STREET,,,,853604367,,,1-LAF,0,1231,8-K,20240731,,,20240807,2024-08-07 16:05:00,0,0,bmbl-20240807_htm.xml,1,
0001193125-24-195845,1982701,AB PRIVATE LENDING FUND,,US,TX,AUSTIN,78701,405 COLORADO STREET,SUITE 1500,512-721-2900,US,TX,AUSTIN,78701,405 COLORADO STREET,SUITE 1500,US,DE,0,,,,0,1231,424B3,,,,20240807,2024-08-07 15:47:00,0,0,d847837d424b3_htm.xml,1,
0001333493-24-000122,1333493,"EHEALTH, INC.",6411,US,TX,AUSTIN,78717,"13620 RANCH ROAD 620 N, SUITE A250",,737-248-2340,US,TX,AUSTIN,78717,"13620 RANCH ROAD 620 N, SUITE A250",,US,DE,770470789,,,2-ACC,0,1231,8-K,20240731,,,20240807,2024-08-07 7:39:00,0,0,ehth-20240806_htm.xml,1,
0001333493-24-000126,1333493,"EHEALTH, INC.",6411,US,TX,AUSTIN,78717,"13620 RANCH ROAD 620 N, SUITE A250",,737-248-2340,US,TX,AUSTIN,78717,"13620 RANCH ROAD 620 N, SUITE A250",,US,DE,770470789,,,2-ACC,0,1231,10-Q,20240630,2024,Q2,20240807,2024-08-07 16:16:00,0,1,ehth-20240630_htm.xml,1,
0001489096-24-000149,1489096,"THERMON GROUP HOLDINGS, INC.",3620,US,TX,AUSTIN,78735,7171 SOUTHWEST PARKWAY,"BUILDING 300, SUITE 200",5126900600,US,TX,AUSTIN,78735,7171 SOUTHWEST PARKWAY,"BUILDING 300, SUITE 200",US,DE,272228185,,,1-LAF,0,331,8-K,20240731,,,20240807,2024-08-07 6:46:00,0,0,thr-20240807_htm.xml,1,
0001489096-24-000154,1489096,"THERMON GROUP HOLDINGS, INC.",3620,US,TX,AUSTIN,78735,7171 SOUTHWEST PARKWAY,"BUILDING 300, SUITE 200",5126900600,US,TX,AUSTIN,78735,7171 SOUTHWEST PARKWAY,"BUILDING 300, SUITE 200",US,DE,272228185,,,1-LAF,0,331,10-Q,20240630,2025,Q1,20240807,2024-08-07 14:19:00,0,1,thr-20240630_htm.xml,1,
0001628280-24-035601,317788,"DIGITAL TURBINE, INC.",6794,US,TX,AUSTIN,78701,111 NUECES STREET,,(512) 387-7717,US,TX,AUSTIN,78701,111 NUECES STREET,,US,DE,222267658,"MANDALAY DIGITAL GROUP, INC.",20120207,1-LAF,0,331,8-K,20240731,,,20240807,2024-08-07 16:06:00,0,0,apps-20240807_htm.xml,1,
0001628280-24-035714,1839341,"CORE SCIENTIFIC, INC./TX",6199,US,TX,AUSTIN,78701,"106 EAST 6TH STREET, SUITE 900-145",,(425) 998-5300,US,TX,AUSTIN,78701,"106 EAST 6TH STREET, SUITE 900-145",,US,DE,0,POWER & DIGITAL INFRASTRUCTURE ACQUISITION CORP.,20210106,2-ACC,0,1231,10-Q,20240630,2024,Q2,20240807,2024-08-07 17:18:00,0,1,core-20240630_htm.xml,1,
0001628280-24-035686,317788,"DIGITAL TURBINE, INC.",6794,US,TX,AUSTIN,78701,111 NUECES STREET,,(512) 387-7717,US,TX,AUSTIN,78701,111 NUECES STREET,,US,DE,222267658,"MANDALAY DIGITAL GROUP, INC.",20120207,1-LAF,0,331,10-Q,20240630,2025,Q1,20240807,2024-08-07 16:55:00,0,1,apps-20240630_htm.xml,1,
0001628280-24-035651,1839341,"CORE SCIENTIFIC, INC./TX",6199,US,TX,AUSTIN,78701,"106 EAST 6TH STREET, SUITE 900-145",,(425) 998-5300,US,TX,AUSTIN,78701,"106 EAST 6TH STREET, SUITE 900-145",,US,DE,0,POWER & DIGITAL INFRASTRUCTURE ACQUISITION CORP.,20210106,2-ACC,0,1231,8-K,20240731,,,20240807,2024-08-07 16:23:00,0,0,core-20240807_htm.xml,1,
0000350868-24-000023,350868,"ITERIS, INC.",3669,US,TX,AUSTIN,78746,1250 S. CAPITAL OF TEXAS HWY.,"BLDG. 1, SUITE 330",512-716-0808,US,TX,AUSTIN,78746,1250 S. CAPITAL OF TEXAS HWY.,"BLDG. 1, SUITE 330",US,DE,952588496,ITERIS HOLDINGS  INC,20031107,2-ACC,0,331,8-K,20240731,,,20240808,2024-08-08 16:14:00,0,0,iti-20240808_htm.xml,1,
0000350868-24-000025,350868,"ITERIS, INC.",3669,US,TX,AUSTIN,78746,1250 S. CAPITAL OF TEXAS HWY.,"BLDG. 1, SUITE 330",512-716-0808,US,TX,AUSTIN,78746,1250 S. CAPITAL OF TEXAS HWY.,"BLDG. 1, SUITE 330",US,DE,952588496,ITERIS HOLDINGS  INC,20031107,2-ACC,0,331,10-Q,20240630,2025,Q1,20240808,2024-08-08 16:22:00,0,1,iti-20240630_htm.xml,1,
0000950170-24-093094,1626450,"BIGCOMMERCE HOLDINGS, INC.",7372,US,TX,AUSTIN,78726,"11305 FOUR POINTS DR, BLDG 2, SUITE 100",,1-888-699-8911,US,TX,AUSTIN,78726,"11305 FOUR POINTS DR, BLDG 2, SUITE 100",,US,DE,462707656,,,1-LAF,0,1231,8-K,20240731,,,20240808,2024-08-07 18:23:00,0,0,bigc-20240807_htm.xml,1,
0000950170-24-093276,1828161,"FTC SOLAR, INC.",3674,US,TX,AUSTIN,78759,"9020 N CAPITAL OF TEXAS HWY, SUITE I-260",,(907) 312-0717,US,TX,AUSTIN,78759,"9020 N CAPITAL OF TEXAS HWY, SUITE I-260",,US,DE,814816270,,,2-ACC,0,1231,8-K,20240731,,,20240808,2024-08-08 6:40:00,0,0,ftci-20240808_htm.xml,1,
0000950170-24-093324,1579733,"VITAL FARMS, INC.",2000,US,TX,AUSTIN,78704,3601 SOUTH CONGRESS AVENUE,SUITE C100,(877) 455-3063,US,TX,AUSTIN,78704,3601 SOUTH CONGRESS AVENUE,SUITE C100,US,DE,270496985,,,2-ACC,0,1231,8-K,20240731,,,20240808,2024-08-08 7:25:00,0,0,vitl-20240808_htm.xml,1,
0000950170-24-093329,1579733,"VITAL FARMS, INC.",2000,US,TX,AUSTIN,78704,3601 SOUTH CONGRESS AVENUE,SUITE C100,(877) 455-3063,US,TX,AUSTIN,78704,3601 SOUTH CONGRESS AVENUE,SUITE C100,US,DE,270496985,,,2-ACC,0,1231,10-Q,20240630,2024,Q2,20240808,2024-08-08 7:31:00,0,1,vitl-20240630_htm.xml,1,
0000950170-24-093388,1828161,"FTC SOLAR, INC.",3674,US,TX,AUSTIN,78759,"9020 N CAPITAL OF TEXAS HWY, SUITE I-260",,(907) 312-0717,US,TX,AUSTIN,78759,"9020 N CAPITAL OF TEXAS HWY, SUITE I-260",,US,DE,814816270,,,2-ACC,0,1231,10-Q,20240630,2024,Q2,20240808,2024-08-08 9:26:00,0,1,ftci-20240630_htm.xml,1,
0000950170-24-093910,1830043,BUMBLE INC.,7370,US,TX,AUSTIN,78756,1105 WEST 41ST STREET,,512-696-1409,US,TX,AUSTIN,78756,1105 WEST 41ST STREET,,,,853604367,,,1-LAF,0,1231,10-Q,20240630,2024,Q2,20240808,2024-08-08 16:06:00,0,1,bmbl-20240630_htm.xml,1,
0001104659-24-087273,1604821,"NATERA, INC.",8071,US,TX,AUSTIN,78753,13011 MCCALLEN PASS,BUILDING A SUITE 100,650-249-9090,US,TX,AUSTIN,78753,13011 MCCALLEN PASS,BUILDING A SUITE 100,US,DE,10894487,,,1-LAF,0,1231,8-K,20240731,,,20240808,2024-08-08 16:11:00,0,0,tm2420614d1_8k_htm.xml,1,
0001133228-24-007546,1558372,YCG FUNDS,,US,TX,AUSTIN,78738,"3207 RANCH ROAD 620 SOUTH, SUITE 200",,512-505-2347,US,TX,AUSTIN,78738,"3207 RANCH ROAD 620 SOUTH, SUITE 200",,,,0,,,,0,,N-CSRS,20240531,,,20240808,2024-08-08 12:35:00,0,1,ycgf-html8512_ncsrs_htm.xml,1,
0001171843-24-004561,1069530,CASSAVA SCIENCES INC,2834,US,TX,AUSTIN,78731,6801 N CAPITAL OF TEXAS HIGHWAY,BUILDING 1; SUITE 300,512-501-2444,US,TX,AUSTIN,78731,6801 N CAPITAL OF TEXAS HIGHWAY,BUILDING 1; SUITE 300,US,DE,911911336,PAIN THERAPEUTICS INC,20000309,1-LAF,0,1231,8-K,20240731,,,20240808,2024-08-08 8:13:00,1,0,f8k_080824_htm.xml,1,
0001386278-24-000041,1386278,GREEN DOT CORP,6199,US,TX,AUSTIN,78701,114 W 7TH STREET SUITE 240,,6267652000,US,OH,CINCINNATI,45241,"4675 CORNELL ROAD, SUITE 280",,US,DE,0,,,1-LAF,0,1231,8-K,20240731,,,20240808,2024-08-08 16:27:00,0,0,gdot-20240808_htm.xml,1,
0001410578-24-001222,1859686,SILVERBOX CORP III,6770,US,TX,AUSTIN,78746,1250 S. CAPITAL OF TEXAS HIGHWAY,"BUILDING 2, SUITE 285",512-575-3637,US,TX,AUSTIN,78746,1250 S. CAPITAL OF TEXAS HIGHWAY,"BUILDING 2, SUITE 285",,,862754279,SILVERBOX ENGAGED CORP II,20210429,4-NON,0,1231,10-Q,20240630,2024,Q2,20240808,2024-08-08 16:08:00,0,1,sbxc-20240630x10q_htm.xml,1,
0001437749-24-025611,1069530,CASSAVA SCIENCES INC,2834,US,TX,AUSTIN,78731,6801 N CAPITAL OF TEXAS HIGHWAY,BUILDING 1; SUITE 300,512-501-2444,US,TX,AUSTIN,78731,6801 N CAPITAL OF TEXAS HIGHWAY,BUILDING 1; SUITE 300,US,DE,911911336,PAIN THERAPEUTICS INC,20000309,1-LAF,0,1231,10-Q,20240630,2024,Q2,20240808,2024-08-08 17:13:00,0,1,sava20240630_10q_htm.xml,1,
0001493152-24-030780,1836100,GOAL ACQUISITIONS CORP.,6770,US,TX,AUSTIN,78738,13001 W. HWY 71,SUITE 201,512-287-1871,US,TX,AUSTIN,78738,13001 W. HWY 71,SUITE 201,US,DE,853660880,,,4-NON,0,1231,8-K,20240731,,,20240808,2024-08-08 16:16:00,0,0,form8-k_htm.xml,1,
0001625641-24-000120,1625641,"CS DISCO, INC.",7372,US,TX,AUSTIN,78701,111 CONGRESS AVE,SUITE 900,713-231-9100,US,TX,AUSTIN,78701,111 CONGRESS AVE,SUITE 900,US,DE,464254444,,,2-ACC,0,1231,8-K,20240731,,,20240808,2024-08-08 16:16:00,0,0,law-20240808_htm.xml,1,
0001625641-24-000122,1625641,"CS DISCO, INC.",7372,US,TX,AUSTIN,78701,111 CONGRESS AVE,SUITE 900,713-231-9100,US,TX,AUSTIN,78701,111 CONGRESS AVE,SUITE 900,US,DE,464254444,,,2-ACC,0,1231,10-Q,20240630,2024,Q2,20240808,2024-08-08 17:06:00,0,1,law-20240630_htm.xml,1,
0001670592-24-000033,1670592,"YETI HOLDINGS, INC.",3949,US,TX,AUSTIN,78735,7601 SOUTHWEST PARKWAY,,(512) 394-9384,US,TX,AUSTIN,78735,7601 SOUTHWEST PARKWAY,,US,DE,455297111,,,1-LAF,0,1231,8-K,20240731,,,20240808,2024-08-08 6:09:00,0,0,yeti-20240808_htm.xml,1,
0001670592-24-000034,1670592,"YETI HOLDINGS, INC.",3949,US,TX,AUSTIN,78735,7601 SOUTHWEST PARKWAY,,(512) 394-9384,US,TX,AUSTIN,78735,7601 SOUTHWEST PARKWAY,,US,DE,455297111,,,1-LAF,0,1231,10-Q,20240630,2024,Q2,20240808,2024-08-08 6:12:00,0,1,yeti-20240629_htm.xml,1,
0001740332-24-000051,1740332,"RESIDEO TECHNOLOGIES, INC.",5072,US,TX,AUSTIN,78702,901 E 6TH STREET,,512-726-3500,US,TX,AUSTIN,78702,901 E 6TH STREET,,US,DE,825318796,HH SPINCO INC.,20180510,1-LAF,0,1231,8-K,20240731,,,20240808,2024-08-08 17:27:00,0,0,rezi-20240807_htm.xml,1,
0001806201-24-000119,1806201,OPEN LENDING CORP,6141,US,TX,AUSTIN,78746,1501 S. MOPAC EXPRESSWAY,SUITE #450,512-892-0400,US,TX,AUSTIN,78746,1501 S. MOPAC EXPRESSWAY,SUITE #450,,,845031428,NEBULA PARENT CORP.,20200310,1-LAF,0,1231,8-K,20240731,,,20240808,2024-08-08 16:25:00,0,0,lpro-20240808_htm.xml,1,
0001104659-24-087480,350868,"ITERIS, INC.",3669,US,TX,AUSTIN,78746,1250 S. CAPITAL OF TEXAS HWY.,"BLDG. 1, SUITE 330",512-716-0808,US,TX,AUSTIN,78746,1250 S. CAPITAL OF TEXAS HWY.,"BLDG. 1, SUITE 330",US,DE,952588496,ITERIS HOLDINGS  INC,20031107,2-ACC,0,331,8-K,20240731,,,20240809,2024-08-09 6:05:00,0,0,tm2421283d1_8k_htm.xml,1,
0001386278-24-000051,1386278,GREEN DOT CORP,6199,US,TX,AUSTIN,78701,114 W 7TH STREET SUITE 240,,6267652000,US,OH,CINCINNATI,45241,"4675 CORNELL ROAD, SUITE 280",,US,DE,0,,,1-LAF,0,1231,10-Q,20240630,2024,Q2,20240809,2024-08-09 16:23:00,0,1,gdot-20240630_htm.xml,1,
0001437749-24-025654,1069530,CASSAVA SCIENCES INC,2834,US,TX,AUSTIN,78731,6801 N CAPITAL OF TEXAS HIGHWAY,BUILDING 1; SUITE 300,512-501-2444,US,TX,AUSTIN,78731,6801 N CAPITAL OF TEXAS HIGHWAY,BUILDING 1; SUITE 300,US,DE,911911336,PAIN THERAPEUTICS INC,20000309,1-LAF,0,1231,8-K/A,20240731,,,20240809,2024-08-09 8:23:00,1,0,sava20240809_8ka_htm.xml,1,
0001437749-24-025893,1595248,"GENPREX, INC.",2834,US,TX,AUSTIN,78712,"1601 TRINITY STREET, BLDG. B",SUITE 3.322,512-537-7997,US,TX,AUSTIN,78712,"1601 TRINITY STREET, BLDG. B",SUITE 3.322,US,TX,900772347,,,4-NON,0,1231,10-Q,20240630,2024,Q2,20240809,2024-08-09 16:31:00,0,1,gnpx20240630_10q_htm.xml,1,
0001524931-24-000086,1524931,"CHUY'S HOLDINGS, INC.",5812,US,TX,AUSTIN,78704,1623 TOOMEY ROAD,,512-473-2783,US,TX,AUSTIN,78704,1623 TOOMEY ROAD,,US,DE,205717694,,,1-LAF,0,1231,10-Q,20240630,2024,Q2,20240809,2024-08-09 16:02:00,0,1,chuy-20240630_htm.xml,1,
0001558370-24-011666,1604821,"NATERA, INC.",8071,US,TX,AUSTIN,78753,13011 MCCALLEN PASS,BUILDING A SUITE 100,650-249-9090,US,TX,AUSTIN,78753,13011 MCCALLEN PASS,BUILDING A SUITE 100,US,DE,10894487,,,1-LAF,0,1231,10-Q,20240630,2024,Q2,20240809,2024-08-08 20:28:00,0,1,ntra-20240630x10q_htm.xml,1,
0001740332-24-000053,1740332,"RESIDEO TECHNOLOGIES, INC.",5072,US,TX,AUSTIN,78702,901 E 6TH STREET,,512-726-3500,US,TX,AUSTIN,78702,901 E 6TH STREET,,US,DE,825318796,HH SPINCO INC.,20180510,1-LAF,0,1231,10-Q,20240630,2024,Q2,20240809,2024-08-08 17:32:00,0,1,rezi-20240629_htm.xml,1,
0001806201-24-000123,1806201,OPEN LENDING CORP,6141,US,TX,AUSTIN,78746,1501 S. MOPAC EXPRESSWAY,SUITE #450,512-892-0400,US,TX,AUSTIN,78746,1501 S. MOPAC EXPRESSWAY,SUITE #450,,,845031428,NEBULA PARENT CORP.,20200310,1-LAF,0,1231,10-Q,20240630,2024,Q2,20240809,2024-08-09 16:08:00,0,1,lpro-20240630_htm.xml,1,
0000950170-24-095403,1160308,SAVARA INC,2834,US,TX,AUSTIN,78746,6836 BEE CAVE ROAD,"BUILDING 3, SUITE 201",51285113796,US,TX,AUSTIN,78746,6836 BEE CAVE ROAD,"BUILDING 3, SUITE 201",US,DE,841318182,"MAST THERAPEUTICS, INC.",20130312,4-NON,0,1231,10-Q,20240630,2024,Q2,20240812,2024-08-12 16:05:00,0,1,svra-20240630_htm.xml,1,
0000950170-24-095439,926617,ASPIRA WOMEN'S HEALTH INC.,2835,US,TX,AUSTIN,78738,12117 BEE CAVES ROAD BUILDING THREE,SUITE 100,512-519-0400,US,TX,AUSTIN,78738,12117 BEE CAVES ROAD BUILDING THREE,SUITE 100,US,DE,330595156,"VERMILLION, INC.",20070824,4-NON,0,1231,8-K,20240731,,,20240812,2024-08-12 16:12:00,0,0,awh-20240812_htm.xml,1,
0001171843-24-004689,1626878,XBIOTECH INC.,2834,US,TX,AUSTIN,78744,5217 WINNEBAGO LANE,,512-386-2900,US,TX,AUSTIN,78744,5217 WINNEBAGO LANE,,CA,BC,0,,,4-NON,0,1231,10-Q,20240630,2024,Q2,20240812,2024-08-12 14:39:00,0,1,xbit20240630_10q_htm.xml,1,
0000885508-24-000057,885508,STRATUS PROPERTIES INC,6552,US,TX,AUSTIN,78701,212 LAVACA STREET,SUITE 300,5124785788,US,TX,AUSTIN,78701,212 LAVACA STREET,SUITE 300,US,DE,721211572,FM PROPERTIES INC,19930328,4-NON,0,1231,8-K,20240731,,,20240813,2024-08-13 8:32:00,0,0,strs-20240813_htm.xml,1,
